id, label, parent, obsolete
"Mauritius","label.directories.country.Mauritius","africa","0"
"Mayotte","label.directories.country.Mayotte","africa","0"
"Mexico","label.directories.country.Mexico","north-america","0"
"Micronesia","label.directories.country.Micronesia","oceania","0"
"Moldova","label.directories.country.Moldova","europe","0"
"Monaco","label.directories.country.Monaco","europe","0"
"Mongolia","label.directories.country.Mongolia","asia","0"
"Montenegro","label.directories.country.Montenegro","europe","0"
"Montserrat","label.directories.country.Montserrat","north-america","0"
"Morocco","label.directories.country.Morocco","africa","0"
"Mozambique","label.directories.country.Mozambique","africa","0"
"Myanmar","label.directories.country.Myanmar","asia","0"
"Namibia","label.directories.country.Namibia","africa","0"
"Nauru","label.directories.country.Nauru","oceania","0"
"Nepal","label.directories.country.Nepal","asia","0"
"Netherlands_Antilles","label.directories.country.Netherlands_Antilles","north-america","0"
"Netherlands","label.directories.country.Netherlands","europe","0"
"New_Caledonia","label.directories.country.New_Caledonia","oceania","0"
"New_Zealand","label.directories.country.New_Zealand","oceania","0"
"Nicaragua","label.directories.country.Nicaragua","north-america","0"
"Niger","label.directories.country.Niger","africa","0"
"Nigeria","label.directories.country.Nigeria","africa","0"
"Niue","label.directories.country.Niue","oceania","0"
"Norfolk_Island","label.directories.country.Norfolk_Island","oceania","0"
"Northern_Mariana_Islands","label.directories.country.Northern_Mariana_Islands","oceania","0"
"Norway","label.directories.country.Norway","europe","0"
"Oman","label.directories.country.Oman","asia","0"
"Pakistan","label.directories.country.Pakistan","asia","0"
"Palau","label.directories.country.Palau","oceania","0"
"Palestinian_Territory","label.directories.country.Palestinian_Territory","asia","0"
"Panama","label.directories.country.Panama","north-america","0"
"Papua_New_Guinea","label.directories.country.Papua_New_Guinea","oceania","0"
"Paraguay","label.directories.country.Paraguay","south-america","0"
"Peru","label.directories.country.Peru","south-america","0"
"Philippines","label.directories.country.Philippines","asia","0"
"Pitcairn_Island","label.directories.country.Pitcairn_Island","oceania","0"
"Poland","label.directories.country.Poland","europe","0"
"Portugal","label.directories.country.Portugal","europe","0"
"Puerto_Rico","label.directories.country.Puerto_Rico","north-america","0"
"Qatar","label.directories.country.Qatar","asia","0"
"Reunion","label.directories.country.Reunion","africa","0"
"Romania","label.directories.country.Romania","europe","0"
"Russian_Federation","label.directories.country.Russian_Federation","europe","0"
"Rwanda","label.directories.country.Rwanda","africa","0"
"St_Helena","label.directories.country.St_Helena","africa","0"
"St_Kitts_and_Nevis","label.directories.country.St_Kitts_and_Nevis","north-america","0"
"St_Lucia","label.directories.country.St_Lucia","north-america","0"
"St_Pierre_and_Miquelon","label.directories.country.St_Pierre_and_Miquelon","north-america","0"
"St_Vincent_and_the_Grenadines","label.directories.country.St_Vincent_and_the_Grenadines","north-america","0"
"Samoa","label.directories.country.Samoa","oceania","0"
"San_Marino","label.directories.country.San_Marino","europe","0"
"Sao_Tome_and_Principe","label.directories.country.Sao_Tome_and_Principe","africa","0"
"Saudi_Arabia","label.directories.country.Saudi_Arabia","asia","0"
"Senegal","label.directories.country.Senegal","africa","0"
"Serbia","label.directories.country.Serbia","europe","0"
"Seychelles","label.directories.country.Seychelles","africa","0"
"Sierra_Leone","label.directories.country.Sierra_Leone","africa","0"
"Singapore","label.directories.country.Singapore","asia","0"
"Slovakia_Slovak_Republic","label.directories.country.Slovakia_Slovak_Republic","europe","0"
"Slovenia","label.directories.country.Slovenia","europe","0"
"Solomon_Islands","label.directories.country.Solomon_Islands","oceania","0"
"Somalia","label.directories.country.Somalia","africa","0"
"South_Africa","label.directories.country.South_Africa","africa","0"
"South_Georgia_and_the_South_Sandwich_Islands","label.directories.country.South_Georgia_and_the_South_Sandwich_Islands","antarctica","0"
"Spain","label.directories.country.Spain","europe","0"
"Sri_Lanka","label.directories.country.Sri_Lanka","asia","0"
"Sudan","label.directories.country.Sudan","africa","0"
"Suriname","label.directories.country.Suriname","south-america","0"
"Svalbard_Jan_Mayen_Islands","label.directories.country.Svalbard_Jan_Mayen_Islands","europe","0"
"Swaziland","label.directories.country.Swaziland","africa","0"
"Sweden","label.directories.country.Sweden","europe","0"
"Switzerland","label.directories.country.Switzerland","europe","0"
"Syrian_Arab_Republic","label.directories.country.Syrian_Arab_Republic","asia","0"
"Taiwan","label.directories.country.Taiwan","asia","0"
"Tajikistan","label.directories.country.Tajikistan","asia","0"
"Tanzania","label.directories.country.Tanzania","africa","0"
"Thailand","label.directories.country.Thailand","asia","0"
"Timor_Leste","label.directories.country.Timor_Leste","asia","0"
"Togo","label.directories.country.Togo","africa","0"
"Tokelau_Tokelau_Islands","label.directories.country.Tokelau_Tokelau_Islands","oceania","0"
"Tonga","label.directories.country.Tonga","oceania","0"
"Trinidad_and_Tobago","label.directories.country.Trinidad_and_Tobago","north-america","0"
"Tunisia","label.directories.country.Tunisia","africa","0"
"Turkey","label.directories.country.Turkey","asia","0"
"Turkmenistan","label.directories.country.Turkmenistan","asia","0"
"Turks_and_Caicos_Islands","label.directories.country.Turks_and_Caicos_Islands","north-america","0"
"Tuvalu","label.directories.country.Tuvalu","oceania","0"
"US_Virgin_Islands","label.directories.country.US_Virgin_Islands","north-america","0"
"Uganda","label.directories.country.Uganda","africa","0"
"Ukraine","label.directories.country.Ukraine","europe","0"
"United_Arab_Emirates","label.directories.country.United_Arab_Emirates","asia","0"
"United_Kingdom_of_Great_Britain_N_Ireland","label.directories.country.United_Kingdom_of_Great_Britain_N_Ireland","europe","0"
"United_States_Minor_Outlying_Islands","label.directories.country.United_States_Minor_Outlying_Islands","oceania","0"
"United_States_of_America","label.directories.country.United_States_of_America","north-america","0"
"Uruguay","label.directories.country.Uruguay","south-america","0"
"Uzbekistan","label.directories.country.Uzbekistan","asia","0"
"Vanuatu","label.directories.country.Vanuatu","oceania","0"
"Venezuela","label.directories.country.Venezuela","south-america","0"
"Viet_Nam","label.directories.country.Viet_Nam","asia","0"
"Wallis_and_Futuna_Islands","label.directories.country.Wallis_and_Futuna_Islands","oceania","0"
"Western_Sahara","label.directories.country.Western_Sahara","africa","0"
"Yemen","label.directories.country.Yemen","asia","0"
"Zambia","label.directories.country.Zambia","africa","0"
"Zimbabwe","label.directories.country.Zimbabwe","africa","0"

