id, label_en, label_fr, parent, obsolete
"Eritrea","Eritrea","Érythrée","africa","0"
"Estonia","Estonia","Estonie","europe","0"
"Ethiopia","Ethiopia","Éthiopie","africa","0"
"Falkland_Islands_Malvinas","Falkland Islands (Malvinas)","Îles Malouines","south-america","0"
"Faroe_Islands","Faroe Islands","Îles Féroé","europe","0"
"Fiji","Fiji","Fidji","oceania","0"
"Finland","Finland","Finlande","europe","0"
"France","France","France","europe","0"
"French_Guiana","French Guiana","Guyane","south-america","0"
"French_Polynesia","French Polynesia","Polynésie française","oceania","0"
"French_Southern_Territories","French Southern Territories","Territoire des Terres australes françaises","antarctica","0"
"Gabon","Gabon","Gabon","africa","0"
"Gambia","Gambia","Gambie","africa","0"
"Georgia","Georgia","Géorgie","asia","0"
"Germany","Germany","Allemagne","europe","0"
"Ghana","Ghana","Ghana","africa","0"
"Gibraltar","Gibraltar","Gibraltar","europe","0"
"Greece","Greece","Grèce","europe","0"
"Greenland","Greenland","Groenland","north-america","0"
"Grenada","Grenada","Grenade","north-america","0"
"Guadaloupe","Guadaloupe","Guadeloupe","north-america","0"
"Guam","Guam","Guam","oceania","0"
"Guatemala","Guatemala","Guatemala","north-america","0"
"Guernsey","Guernsey","Guernesey","europe","0"
"Guinea","Guinea","Guinée","africa","0"
"Guinea_Bissau","Guinea-Bissau","Guinée-Bissau","africa","0"
"Guyana","Guyana","Guyana","south-america","0"
"Haiti","Haiti","Haïti","north-america","0"
"Heard_and_McDonald_Islands","Heard and McDonald Islands","Île Heard et îles McDonald","antarctica","0"
"Holy_See_Vatican_City_State","Holy See (Vatican City State)","Saint-Siège (l'État de la Cité du Vatican)","europe","0"
"Honduras","Honduras","Honduras","north-america","0"
"Hong_Kong","Hong Kong","Hong Kong","asia","0"
"Hungary","Hungary","Hongrie","europe","0"
"Iceland","Iceland","Islande","europe","0"
"India","India","Inde","asia","0"
"Indonesia","Indonesia","Indonésie","asia","0"
"Iran","Iran","Iran","asia","0"
"Iraq","Iraq","Iraq","asia","0"
"Ireland","Ireland","Irlande","europe","0"
"Isle_of_Man","Isle of Man","Île de Man","europe","0"
"Israel","Israel","Israël","asia","0"
"Italy","Italy","Italie","europe","0"
"Jamaica","Jamaica","Jamaïque","north-america","0"
"Japan","Japan","Japon","asia","0"
"Jersey","Jersey","Jersey","europe","0"
"Jordan","Jordan","Jordanie","asia","0"
"Kazakhstan","Kazakhstan","Kazakhstan","asia","0"
"Kenya","Kenya","Kenya","africa","0"
"Kiribati","Kiribati","Kiribati","oceania","0"
"Kuwait","Kuwait","Koweït","asia","0"
"Kyrgyz_Republic","Kyrgyz Republic","Kirghizistan","asia","0"
"Lao_People_s_Democratic_Republic","Lao People's Democratic Republic","Laos","asia","0"
"Latvia","Latvia","Lettonie","europe","0"
"Lebanon","Lebanon","Liban","asia","0"
"Lesotho","Lesotho","Lesotho","africa","0"
"Liberia","Liberia","Libéria","africa","0"
"Libyan_Arab_Jamahiriya","Libyan Arab Jamahiriya","Libye","africa","0"
"Liechtenstein","Liechtenstein","Liechtenstein","europe","0"
"Lithuania","Lithuania","Lituanie","europe","0"
"Luxembourg","Luxembourg","Luxembourg","europe","0"
"Macao","Macao","Macao","asia","0"
"Macedonia","Macedonia","Macédoine","europe","0"
"Madagascar","Madagascar","Madagascar","africa","0"
"Malawi","Malawi","Malawi","africa","0"
"Malaysia","Malaysia","Malaisie","asia","0"
"Maldives","Maldives","Maldives","asia","0"
"Mali","Mali","Mali","africa","0"
"Malta","Malta","Malte","europe","0"
"Marshall_Islands","Marshall Islands","Marshall","oceania","0"
"Martinique","Martinique","Martinique","north-america","0"
"Mauritania","Mauritania","Mauritanie","africa","0"
"Mauritius","Mauritius","Maurice","africa","0"
"Mayotte","Mayotte","Mayotte","africa","0"
"Mexico","Mexico","Mexique","north-america","0"
"Micronesia","Micronesia","Micronésie","oceania","0"
"Moldova","Moldova","Moldavie","europe","0"
"Monaco","Monaco","Monaco","europe","0"
"Mongolia","Mongolia","Mongolia","asia","0"
"Montenegro","Montenegro","Monténégro","europe","0"
"Montserrat","Montserrat","Montserrat","north-america","0"
"Morocco","Morocco","Maroc","africa","0"
"Mozambique","Mozambique","Mozambique","africa","0"
"Myanmar","Myanmar","Myanmar","asia","0"
"Namibia","Namibia","Namibie","africa","0"
"Nauru","Nauru","Nauru","oceania","0"
"Nepal","Nepal","Népal","asia","0"
"Netherlands","Netherlands","Pays-Bas","europe","0"
"Netherlands_Antilles","Netherlands Antilles","Antilles néerlandaises","north-america","0"
"New_Caledonia","New Caledonia","Nouvelle-Calédonie","oceania","0"
"New_Zealand","New Zealand","Nouvelle-Zélande","oceania","0"
"Nicaragua","Nicaragua","Nicaragua","north-america","0"
"Niger","Niger","Niger","africa","0"
"Nigeria","Nigeria","Nigeria","africa","0"
"Niue","Niue","Niué","oceania","0"
"Norfolk_Island","Norfolk Island","Île Norfolk","oceania","0"
"North_Korea","North Korea","Corée du Nord","asia","0"
"Northern_Mariana_Islands","Northern Mariana Islands","Îles Mariannes du Nord","oceania","0"
"Norway","Norway","Norvège","europe","0"
"Oman","Oman","Oman","asia","0"
"Pakistan","Pakistan","Pakistan","asia","0"
"Palau","Palau","Palaos","oceania","0"
"Palestinian_Territory","Palestinian Territory","Territoires palestiniens","asia","0"
"Panama","Panama","Panama","north-america","0"
"Papua_New_Guinea","Papua New Guinea","Papouasie-Nouvelle-Guinée","oceania","0"
"Paraguay","Paraguay","Paraguay","south-america","0"
"Peru","Peru","Pérou","south-america","0"
"Philippines","Philippines","Philippines","asia","0"
"Pitcairn_Island","Pitcairn Island","Îles Pitcairn","oceania","0"
"Poland","Poland","Pologne","europe","0"
"Portugal","Portugal","Portugal","europe","0"
"Puerto_Rico","Puerto Rico","Porto Rico","north-america","0"
"Qatar","Qatar","Qatar","asia","0"
"Reunion","Reunion","Réunion","africa","0"
"Romania","Romania","Roumanie","europe","0"
"Russian_Federation","Russian Federation","Russie","europe","0"
"Rwanda","Rwanda","Rwanda","africa","0"
"Samoa","Samoa","Samoa","oceania","0"
"San_Marino","San Marino","Saint-Marin","europe","0"
"Sao_Tome_and_Principe","Sao Tome and Principe","São Tomé-et-Principe","africa","0"
"Saudi_Arabia","Saudi Arabia","Arabie saoudite","asia","0"
"Senegal","Senegal","Sénégal","africa","0"
"Serbia","Serbia","Serbie","europe","0"
"Seychelles","Seychelles","Seychelles","africa","0"
"Sierra_Leone","Sierra Leone","Sierra Leone","africa","0"
"Singapore","Singapore","Singapour","asia","0"
"Slovakia_Slovak_Republic","Slovakia (Slovak Republic)","Slovaquie","europe","0"
"Slovenia","Slovenia","Slovénie","europe","0"
"Solomon_Islands","Solomon Islands","Îles Salomon","oceania","0"
"Somalia","Somalia","Somalie","africa","0"
"South_Africa","South Africa","Afrique du Sud","africa","0"
"South_Georgia_and_the_South_Sandwich_Islands","South Georgia and the South Sandwich Islands","Géorgie du Sud et les îles Sandwich du Sud","antarctica","0"
"South_Korea","South Korea","Corée du Sud","asia","0"
"Spain","Spain","Espagne","europe","0"
"Sri_Lanka","Sri Lanka","Sri Lanka","asia","0"
"St_Helena","St. Helena","Île Sainte-Hélène","africa","0"
"St_Kitts_and_Nevis","St. Kitts and Nevis","Saint-Christophe-et-Niévès","north-america","0"
"St_Lucia","St. Lucia","Sainte-Lucie","north-america","0"
"St_Pierre_and_Miquelon","St. Pierre and Miquelon","Saint-Pierre-et-Miquelon","north-america","0"
"St_Vincent_and_the_Grenadines","St. Vincent and the Grenadines","Saint-Vincent-et-les Grenadines","north-america","0"
"Sudan","Sudan","Soudan","africa","0"
"Suriname","Suriname","Suriname","south-america","0"
"Svalbard_Jan_Mayen_Islands","Svalbard & Jan Mayen Islands","Svalbard et Jan Mayen","europe","0"
"Swaziland","Swaziland","Swaziland","africa","0"
"Sweden","Sweden","Suède","europe","0"
"Switzerland","Switzerland","Suisse","europe","0"
"Syrian_Arab_Republic","Syrian Arab Republic","Syrie","asia","0"
"Taiwan","Taiwan","Taïwan","asia","0"
"Tajikistan","Tajikistan","Tadjikistan","asia","0"
"Tanzania","Tanzania","Tanzanie","africa","0"
"Thailand","Thailand","Thaïlande","asia","0"
"Timor_Leste","Timor-Leste","Timor oriental","asia","0"
"Togo","Togo","Togo","africa","0"
"Tokelau_Tokelau_Islands","Tokelau (Tokelau Islands)","Tokelau","oceania","0"
"Tonga","Tonga","Tonga","oceania","0"
"Trinidad_and_Tobago","Trinidad and Tobago","Trinité-et-Tobago","north-america","0"
"Tunisia","Tunisia","Tunisie","africa","0"
"Turkey","Turkey","Turkquie","asia","0"
"Turkmenistan","Turkmenistan","Turkménistan","asia","0"
"Turks_and_Caicos_Islands","Turks and Caicos Islands","Îles Turques et Caïques","north-america","0"
"Tuvalu","Tuvalu","Tuvalu","oceania","0"
"Uganda","Uganda","Ouganda","africa","0"
"Ukraine","Ukraine","Ukraine","europe","0"
"United_Arab_Emirates","United Arab Emirates","Émirats arabes unis","asia","0"
"United_Kingdom_of_Great_Britain_N_Ireland","United Kingdom of Great Britain & N. Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","europe","0"
"United_States_Minor_Outlying_Islands","United States Minor Outlying Islands","Îles mineures éloignées des États-Unis","oceania","0"
"United_States_of_America","United States of America","États-Unis","north-america","0"
"Uruguay","Uruguay","Uruguay","south-america","0"
"US_Virgin_Islands","US Virgin Islands","îles Vierges américaines","north-america","0"
"Uzbekistan","Uzbekistan","Ouzbékistan","asia","0"
"Vanuatu","Vanuatu","Vanuatu","oceania","0"
"Venezuela","Venezuela","Venezuela","south-america","0"
"Viet_Nam","Viet Nam","Viêt Nam","asia","0"
"Wallis_and_Futuna_Islands","Wallis and Futuna Islands","Îles Wallis-et-Futuna","oceania","0"
"Western_Sahara","Western Sahara","Sahara occidental","africa","0"
"Yemen","Yemen","Yémen","asia","0"
"Zambia","Zambia","Zambie","africa","0"
"Zimbabwe","Zimbabwe","Zimbabwe","africa","0"
